BAL_visit_0.3,BE_visit_0.3,BAL_eos_0.1,BE_eos_0.1,BAL_neut_0.1,BAL_feno_0.1,BE_feno_0.1
PDE7A,TLN2,C17orf107,,,,
S1PR2,TFCP2,USP20,,,,
KLF8,SRXN1,SOWAHD,,,,
USP36,ERAL1,ZRSR2,,,,
ADGRG2,FAM35A,JAK1,,,,
ACKR2,VAV3,RPH3AL,,,,
FAM3B,MMRN1,SMAD3,,,,
REEP3,HADHA,PALLD,,,,
C5orf49,PSMB6,COQ2,,,,
ZNF284,ZNF781,TPP2,,,,
PLEKHG2,PFN4,AKR1B1,,,,
SNX7,ETFA,LZTS2,,,,
GABRE,PEX16,PPIC,,,,
ERICH3,DGAT1,TMEM150B,,,,
HES2,CLDN18,IFI44L,,,,
CYP4F3,DYNC2H1,CBR4,,,,
LYZ,CYP2S1,TRPC6,,,,
L2HGDH,UGT1A8,BCOR,,,,
RNF217,IL17D,EPM2AIP1,,,,
C9orf24,DFFB,IRF4,,,,
RALA,DST,WDR13,,,,
TREM1,CYP4F3,CD300A,,,,
RAD54L,QTRT1,CLDN23,,,,
HIST1H1E,ENTPD1,MFAP4,,,,
ST3GAL4,LRRC26,SLITRK4,,,,
DNAJA1,PGD,HADHA,,,,
ZBTB1,LIN52,ECHDC2,,,,
SLC4A8,ARPC5,BATF2,,,,
CRH,GALNT12,SH2D4B,,,,
HOXB6,AFAP1L2,STRBP,,,,
CTBS,LETM1,FES,,,,
BLVRA,LY96,FAM107A,,,,
ATAD5,ZYX,MGME1,,,,
GPATCH11,HIP1,ELK3,,,,
KLF2,NPM2,ATL2,,,,
PDIA5,SLC8B1,ZDHHC3,,,,
CLSTN1,C17orf75,CTSF,,,,
ANKRD10,EIF4ENIF1,AGMAT,,,,
PYROXD2,ICE2,GALM,,,,
CARD16,TAGLN3,CYP2B6,,,,
FAM117A,STS,CCDC28A,,,,
MECOM,PFKP,UBXN11,,,,
PARP3,TSKU,NUPR1,,,,
RSPH4A,CYP2B6,FCMR,,,,
DOCK11,PGM2L1,DLX3,,,,
C11orf95,CNDP2,ADTRP,,,,
CXCL2,USP8,SLC9A9,,,,
DNAH10,SPRED2,IFNAR2,,,,
IPO7,SPG7,ITPRIP,,,,
MTMR11,ANKRD26,DOCK1,,,,
CAPS,AKR1C1,MTMR11,,,,
ZNF331,IL6R,MAML1,,,,
AIFM1,NUDT8,SLC35E1,,,,
ADGRF1,SERTAD2,RSRP1,,,,
DST,KPNA7,ZNF205,,,,
PCOLCE2,NXPE2,PELI2,,,,
RSAD2,PLCH1,CHKA,,,,
ARV1,PLIN1,UBAC2,,,,
LEF1,SFMBT1,S100A13,,,,
PRKAA2,CDH11,APBB3,,,,
MPP1,COMMD9,ATP1B1,,,,
FANCL,MDH2,DCTD,,,,
TMEM43,RPL37,MTUS2,,,,
PDIA3,SLC39A8,MIEF2,,,,
GRPEL1,ZC3H12B,LY86,,,,
ADORA3,POLR2E,PNPLA7,,,,
XXYLT1,SPOCD1,FAM84A,,,,
TMEM175,SLU7,STAT6,,,,
NCF1,PRRC2C,GRASP,,,,
TRABD2A,AP1M1,RHOF,,,,
MUC5B,SCD5,VAV3,,,,
SH3TC1,SLC18A2,DDX58,,,,
TIMP3,TPI1,TMCC3,,,,
SPATS2L,ZNF418,GTPBP2,,,,
COL4A1,MB,FAM168B,,,,
INHBA,TMEM255B,ANKH,,,,
SEPT10,RSBN1L,AKR1C2,,,,
C21orf91,IL3RA,HEBP1,,,,
SDF2L1,SCAPER,RARB,,,,
CBS,AQP5,RASSF8,,,,
GGCT,OVGP1,C1orf216,,,,
MYO1F,SPAG7,GMPR,,,,
SLC9A3R1,BCAS3,KIAA0430,,,,
KCNK17,NAGK,ASAP2,,,,
CDK5R1,SLC16A12,PLD6,,,,
PHLDA2,B3GNT6,LMNA,,,,
LEPROT,PTPRS,ULK1,,,,
TTLL12,APOBEC3B,SLC35E3,,,,
APOBEC3B,CCDC146,STAT4,,,,
CECR5,FMOD,FCGR2A,,,,
ZNF629,RHBDD3,DEFB1,,,,
HACD4,PHF19,PXK,,,,
TFR2,C2orf70,RGS9,,,,
LRRC17,ZNF500,RBM20,,,,
OCIAD2,GORASP2,CLIC3,,,,
MEF2D,ADAM15,FAM20A,,,,
RAB3B,CEP95,CLCA1,,,,
MRPS28,TSPAN6,EAF2,,,,
CA13,LRRFIP1,FCGR2B,,,,
SEPT11,ABCB8,CCNJL,,,,
RFXANK,CMBL,KDM7A,,,,
MTPN,SERINC2,PECAM1,,,,
SAMD1,IZUMO1,FRS3,,,,
GBP4,CRIM1,APOL4,,,,
ALPK3,HBB,MEGF6,,,,
PTPRE,CLDN3,MIF4GD,,,,
WIPF1,RABAC1,STRADB,,,,
LRRC8A,GPAA1,PCED1A,,,,
CYP4B1,TMPRSS11D,FFAR4,,,,
DBN1,CASQ1,SLC38A1,,,,
DUOX1,RTCB,STAB1,,,,
KLHDC9,LILRA4,MAN2B1,,,,
PDLIM7,GGCT,SOS2,,,,
GPATCH2,PRKCSH,ERP27,,,,
C5AR1,FBXW2,ITGAX,,,,
SLC37A2,TBC1D9B,MVB12B,,,,
MT1M,TAGLN2,PTGDS,,,,
ITGAX,GATM,ARHGAP32,,,,
AEBP1,SLC7A5,NOL4L,,,,
BTD,RNF152,ST20,,,,
SARAF,MARS,BCL11B,,,,
KIAA0930,EXOSC8,SLC25A25,,,,
ARHGAP26,WSCD2,MAF,,,,
MCUR1,ACVR1C,MAN1A1,,,,
C16orf59,ZNF534,PSD3,,,,
SUMF1,POLR2J,ZNF300,,,,
MFSD12,LRP10,CDK20,,,,
PHYH,C2orf49,LYRM1,,,,
FDXACB1,MRVI1,SAMD4A,,,,
AK2,CHRNB2,BTN2A2,,,,
SLC12A3,FSTL4,TYSND1,,,,
APLP2,SSPN,C1orf189,,,,
STAT5B,LCT,VPREB3,,,,
KRT5,ALDH3B2,MEF2C,,,,
PTRF,LRRC46,NEDD1,,,,
DRAM2,IL1A,CYGB,,,,
SLC25A46,AP1B1,IL1R1,,,,
GNB1L,PHB,CST7,,,,
WDR82,TRIM39,ACTR3,,,,
DIRC2,KLF2,CCDC136,,,,
ARHGEF5,SLC27A3,MXI1,,,,
FRY,FDXACB1,HIST1H2BJ,,,,
NBPF11,CCDC137,C1orf228,,,,
KLHDC8B,LILRA6,PPP3CA,,,,
IRX3,C1orf177,PNMAL2,,,,
PPP2R3A,UBFD1,SLC7A11,,,,
SLC38A5,ZNF302,PCTP,,,,
PPAP2B,OGT,LPAR3,,,,
UNC13D,UCHL1,DKK3,,,,
DCAF8,BMP2K,VWA7,,,,
RASAL1,SLC35A2,NLRC3,,,,
LILRA2,ZSCAN16,XPO6,,,,
RPS6KA2,EMP1,MYO1F,,,,
SMC4,TICRR,FSCN1,,,,
CDHR4,BOLA1,C1QC,,,,
NME7,RTN4RL1,GALNT1,,,,
EGLN3,PSMD3,CD33,,,,
HSD17B6,OBFC1,ZNF556,,,,
ZNHIT6,METTL1,TNRC6C,,,,
BUB3,PLEKHB2,DDX24,,,,
EHD1,IFI27L2,ZNF792,,,,
JAK3,CNIH2,LPIN1,,,,
ARHGAP39,ZNF133,SSBP3,,,,
AVPI1,RGP1,CARKD,,,,
ITGB7,PSME3,TJP2,,,,
SYNE2,LRRC8D,FCHSD2,,,,
GOLPH3L,SMG1,HIPK2,,,,
RNASE3,HRH4,ARHGAP4,,,,
CCDC115,GPS2,GINM1,,,,
RTN4R,CXCL16,YARS2,,,,
PIGC,CCNF,TMBIM1,,,,
FES,WDR4,LIG3,,,,
LPCAT2,CCDC53,C16orf86,,,,
SEPT6,TNS1,CD93,,,,
KIAA0226L,HRSP12,ARAP1,,,,
MGLL,LCP1,PPP1R12A,,,,
SPAG6,THOC5,KBTBD11,,,,
RIMKLA,BCL2L14,CD83,,,,
PTGER4,ITGB1,VRK1,,,,
CCR1,DNM1,LBH,,,,
TMEM2,POU3F1,SNX7,,,,
CCDC40,TYRO3,IRF8,,,,
PROK2,FRMPD2,ST6GALNAC2,,,,
DNAH7,PGLYRP1,SEPT7,,,,
DNAH12,MFSD6L,HIP1R,,,,
ANGEL1,YIPF2,BTBD18,,,,
HYAL3,PCSK2,CHRM3,,,,
GPR75-ASB3,SYT1,NINL,,,,
TEKT1,PDCD1,CMTM1,,,,
ABCA6,GATA1,SLC9A1,,,,
C10orf10,TMEM50B,FAXDC2,,,,
PACRG,ZNF415,FAM110A,,,,
MANEAL,BNIP3L,TNK1,,,,
CBX5,ZG16,FOLR3,,,,
SGSM3,STX3,TM4SF1,,,,
PCED1A,ARSH,CA8,,,,
IER2,HELQ,LY9,,,,
CDC42BPB,PIWIL1,HSD17B8,,,,
AKR1B1,LCMT2,RAB34,,,,
EFCAB12,RHBDF1,APBB1IP,,,,
CYP27A1,KATNB1,ZSCAN5A,,,,
CD244,AIMP2,OTUD7B,,,,
AK8,PSMG4,SRC,,,,
CD59,GM2A,TMEM129,,,,
KIF4A,HERPUD1,C15orf39,,,,
ANXA2R,C14orf28,CCDC115,,,,
PDCD6IP,PACSIN3,HIC1,,,,
KIF15,FCRL5,IFI6,,,,
SPNS1,NMI,TRIP6,,,,
GLIS3,VWA5B1,SAPCD2,,,,
MAL,ABHD14B,THUMPD1,,,,
SH3BP1,ZNF680,AR,,,,
KLHL3,PACRG,PARP12,,,,
PLK2,ADD3,PEBP1,,,,
CSNK1E,OIP5,C20orf202,,,,
SNX20,NOL9,COLEC12,,,,
TSPAN19,GSK3A,MAPK13,,,,
ELF4,CDNF,HPGD,,,,
SPRY1,CTC1,PAM,,,,
ATP2C2,TMEM167A,REM2,,,,
RET,TMEM56-RWDD3,MOB3B,,,,
WDR63,GOLGA5,DLX4,,,,
BCOR,GPANK1,RAB20,,,,
TPD52L1,MYO15A,CBX5,,,,
ACOT4,AMICA1,DGKQ,,,,
DAGLB,DUSP4,NDE1,,,,
SELENBP1,HYKK,RRAGB,,,,
PLEKHB1,RNPC3,KY,,,,
ANKRD36B,EEF1A1,TOPBP1,,,,
CASD1,MFAP4,MOGAT1,,,,
CCDC39,STRN,PFDN1,,,,
ARHGAP40,AADAT,SLA2,,,,
TMEM178A,TTLL12,AFMID,,,,
CMTM8,CD320,RCN1,,,,
SLC16A11,MARCKS,RASD1,,,,
UBE2E2,OXR1,SIRPB1,,,,
MXD1,RMI1,SDCCAG8,,,,
ITPRIPL1,KDM3B,SERPINB11,,,,
RTN1,LRRIQ3,SUMF1,,,,
KIAA0040,ZNF608,ENKD1,,,,
RAB33A,CAPG,DNAJA1,,,,
LY9,DTYMK,FLT1,,,,
CDK6,PPFIA3,LTBR,,,,
SLC9A9,POU2F3,PTPMT1,,,,
EIF2AK2,GID4,TNF,,,,
PTK2B,MAT1A,SCIMP,,,,
CYB5A,VAT1,KIT,,,,
SLC39A8,C9orf16,PCNX,,,,
TIPARP,DPF2,CYB561D1,,,,
TMEM164,PEA15,MED22,,,,
GPR19,CRELD2,FBRSL1,,,,
MARCH9,CCR2,CLEC19A,,,,
SPIRE2,ATP8B3,SLC2A12,,,,
HPS5,RRN3,STEAP2,,,,
CHTOP,ITGA5,ST7,,,,
PIAS2,ARHGAP4,ZCCHC10,,,,
NEIL2,ST14,BEX4,,,,
RAB35,GLMP,RGL3,,,,
FABP6,CLCN6,RHBDD2,,,,
DLX3,FOLR2,MICU1,,,,
FOXI1,UBA2,HIPK1,,,,
C2CD2,TONSL,VMO1,,,,
BPNT1,RBM39,TUBA4A,,,,
LILRA5,TMEM242,TM6SF1,,,,
CPA3,CDKN2A,SPRY1,,,,
AGBL2,MEX3A,USH1C,,,,
STXBP5,MSN,MARCO,,,,
PRR14L,FPR1,ERGIC3,,,,
FAM216B,RNASE6,ISCU,,,,
RAP1B,TIMM10B,FAM129C,,,,
NT5DC2,HIC1,SPG21,,,,
CD200,STMND1,RNF19B,,,,
CLDN7,ABCC6,GDE1,,,,
PGM1,SETD2,ARRB1,,,,
IGFBP6,VPS35,ZNHIT6,,,,
PTPMT1,C6orf132,CASP5,,,,
EPAS1,SLIT3,PRR7,,,,
CARKD,UTRN,FAM76B,,,,
HN1,NEK10,SLIT3,,,,
ZFYVE16,CENPF,APBB2,,,,
SENP3,CCDC132,ABCC4,,,,
PSMD11,SLC12A8,RDH11,,,,
C19orf47,UBE2T,GALT,,,,
SLC25A10,VEZF1,NEFL,,,,
MAP2K6,MIPOL1,A2M,,,,
CASP10,ATXN7L1,RALGPS2,,,,
ACSL1,RARRES3,SAXO2,,,,
LRRC75A,CD8A,NSMCE4A,,,,
CPT1A,CCDC39,CHI3L2,,,,
H1FX,TMEM91,RBMS3,,,,
CFAP44,RAMP1,CD109,,,,
DYNLT3,PRKDC,KAT6A,,,,
AZU1,ADAM29,GPCPD1,,,,
KAZN,GMDS,APEX2,,,,
BNIP2,ZBTB40,PDCD1LG2,,,,
TBC1D12,RNF167,ADAMTS6,,,,
MAZ,GPR174,SNX10,,,,
CCNB2,DDX50,STON1-GTF2A1L,,,,
SUMF2,C22orf42,SLC26A1,,,,
SESN2,GRAMD1A,CORO2A,,,,
RNF216,HNRNPA1L2,CLU,,,,
CDC25C,TRIB3,TGOLN2,,,,
LRP1,IP6K3,ARPIN,,,,
APBA3,STK40,TSGA10IP,,,,
PTTG1,MRPL44,NPEPL1,,,,
AGFG1,BRICD5,RTP4,,,,
HP,C11orf88,STIM1,,,,
PKD2L1,USP5,TDRD6,,,,
METTL8,COPA,WNK2,,,,
IFT81,ITIH2,WAS,,,,
MPO,RAD21,SAG,,,,
NME1,SCNN1D,NHLRC2,,,,
NEK5,ODF1,CASP10,,,,
ANAPC7,KIF5A,CCR4,,,,
IQSEC3,NUPR1,FUT7,,,,
COQ4,JMY,C8B,,,,
C1orf158,LACC1,GHRL,,,,
CEBPG,EEF2,AK1,,,,
GNG12,LGALS9B,CKLF,,,,
VPS54,MTMR3,FUBP1,,,,
STK36,TMEM8A,OPN3,,,,
AP1S2,TRPV2,AGPAT3,,,,
NEK8,ACTN1,CPED1,,,,
EPB41L4B,UBA1,PKIA,,,,
HPS4,ARHGAP40,NEIL2,,,,
RAB7B,LIG1,WDR61,,,,
LYRM5,SLC6A12,ABCC3,,,,
LHFP,BCLAF1,HMGN1,,,,
C11orf21,EIF4G1,FAT3,,,,
ARHGEF39,CISD3,MIIP,,,,
LMNB2,LTBP3,METTL25,,,,
TANC2,GTF2IRD2,ESRP1,,,,
SOWAHC,NR2C1,WDR82,,,,
SCAMP5,NKX3-1,SNX21,,,,
FMO5,CYP3A5,MEAF6,,,,
CDC42SE2,SLC4A4,TIGD3,,,,
DNAJB13,SCN2A,ARHGAP19,,,,
BACE1,FABP3,ASGR1,,,,
CAMK2G,ACOT9,TMEM37,,,,
DEPTOR,SEL1L,APH1B,,,,
MICAL2,ABHD12,MED10,,,,
TKTL1,LACE1,CDC123,,,,
ZMIZ2,MUC16,FPR3,,,,
C1orf168,PIF1,MAPRE3,,,,
SLA,ITM2C,SPATA6,,,,
STPG1,CCT3,APIP,,,,
COG2,WAS,EGLN3,,,,
ZNF226,ZNF836,THRA,,,,
STX16,MYO5B,TSSK4,,,,
KANK2,ALG8,ZNF644,,,,
PTPRU,IRAK2,ZNF717,,,,
CYB5D2,UROC1,NANS,,,,
CHAC1,AP3D1,ZDHHC21,,,,
NUPR1,MUTYH,GMEB1,,,,
C8B,TMEM150B,TMEM216,,,,
RSPH14,PPM1A,F2RL1,,,,
SH3BGRL,BRIX1,ITGB8,,,,
MND1,DNAJB6,IGFBP5,,,,
TP53,FRAS1,ZNF599,,,,
C9orf72,PCGF5,FTCDNL1,,,,
IGLON5,NT5DC2,CYB5A,,,,
NHS,OSTC,ATXN7L1,,,,
LAMB3,DCDC1,CCR5,,,,
FAM177A1,NCOA7,PLIN2,,,,
TRIM46,SHC1,KIAA2018,,,,
CCDC173,TXNDC15,INPP4B,,,,
WDR93,TPM2,MID1IP1,,,,
PEX19,BHLHA15,STAC,,,,
OAS1,COL9A2,DAZAP2,,,,
DNAH5,CLEC2D,UCHL1,,,,
CD84,UBR2,SNRPN,,,,
NET1,FGF23,STX12,,,,
CR1L,DUS1L,BAHCC1,,,,
LILRA1,ZNF532,IL22RA2,,,,
TOP1MT,TNRC6C,SFTPA2,,,,
SESN1,ATAD3A,TMEM55A,,,,
GPR141,NIPSNAP1,INPP5J,,,,
ARHGEF40,PRDX6,FUCA2,,,,
SCGB2A1,RASGEF1A,ZNF708,,,,
RND3,SLC29A4,IRS2,,,,
TTC4,CLCN7,LRRC41,,,,
WDR66,ORMDL2,FADS2,,,,
TLDC2,C8orf86,SH3GLB2,,,,
ASB13,FURIN,TST,,,,
RYK,CLEC6A,MAML2,,,,
FHOD3,FOXRED1,TNRC6B,,,,
ARFGEF3,NALCN,POLD3,,,,
PAGR1,NFKBIA,SPIRE1,,,,
TRPM1,HIST1H2BF,RNASE3,,,,
PARP15,MCOLN1,ZNF709,,,,
FAM89A,GRIK2,GPR161,,,,
MT-CO1,C16orf62,IL1B,,,,
ZRANB1,C6orf58,RAPGEF3,,,,
PLVAP,GCC2,SLC15A3,,,,
CIRBP,FAM83E,QTRT1,,,,
KIFC1,HEYL,ARF6,,,,
GTF3C6,ALDH18A1,ARNTL,,,,
CDK14,SMCO4,DAB2,,,,
RAD51,MYO15B,TPM3,,,,
STAT6,OLIG1,TEX26,,,,
C1orf228,UPF3A,PER1,,,,
SGPP1,FAF2,SPN,,,,
RAB32,NPPC,DNASE1L3,,,,
UACA,CXCR6,PRKD2,,,,
AJAP1,PSD4,CLDN7,,,,
CA3,ALPK1,CLDN8,,,,
HDDC2,RAD50,TPD52L1,,,,
CDK2AP2,TGFBR3,PLXNA3,,,,
LRRCC1,TPP1,BACH2,,,,
ELK3,ZNF765,TMEM150A,,,,
ANXA9,ODF3B,CDV3,,,,
TRIM36,SAXO1,DHRS9,,,,
LIPM,OPN4,KRT1,,,,
KIAA1407,C16orf74,FOXP3,,,,
ECSCR,CA8,KLHL32,,,,
IRF4,MCM2,B3GALT4,,,,
SMOX,FHOD1,CPAMD8,,,,
KCNIP2,GLIPR1L2,CFAP45,,,,
EIF4G1,PTPRC,SERPINA1,,,,
STOM,CDON,NIPSNAP3B,,,,
FUT7,KCNJ11,CRYM,,,,
ICA1L,YIPF5,STRADA,,,,
VSIG4,TKT,TEX2,,,,
FLT1,ZNF33A,CSTA,,,,
MT-ND6,PLSCR4,MLLT11,,,,
CYP4X1,ORC5,SLC35G1,,,,
TSPAN1,ABCB11,SCLT1,,,,
PLXNA3,MAP7D1,LST1,,,,
DZIP1,ENTPD5,TSPAN15,,,,
EPB41L1,ANKUB1,TKT,,,,
MGAT3,SGTA,C5,,,,
GAS2L2,ITGAX,JADE1,,,,
IGBP1,MFSD2A,MCEMP1,,,,
FCRLB,NOSIP,DCAF5,,,,
FIG4,MSH5,FCGRT,,,,
CCDC153,VLDLR,ZCCHC24,,,,
ATP8B4,DNM1L,USP7,,,,
ATP2C1,BEST1,ANP32E,,,,
DHRS12,RECQL5,SCARB2,,,,
MME,CEACAM1,CD72,,,,
VAPA,S100A10,AREL1,,,,
FKBP7,TTLL5,NEIL1,,,,
TMC5,ZNF141,MSR1,,,,
EFCAB10,ZKSCAN1,DBR1,,,,
ORAI2,SERPINB8,C22orf23,,,,
FAM60A,METTL10,PARP9,,,,
PAPSS2,ZNF800,NIT2,,,,
U2AF1L4,DNAJC27,S100B,,,,
DOC2A,MICB,BTN2A1,,,,
TSC1,ANPEP,METTL8,,,,
ANOS1,C8orf48,ZNF281,,,,
FANCB,COL14A1,BRAF,,,,
CXCL8,ZFP62,ZWILCH,,,,
AHSA2,CFL2,IRAK4,,,,
DNALI1,GJB1,JAK3,,,,
CACNG8,HSPA4,ATP1B3,,,,
FXYD3,FLOT2,EYA1,,,,
KIAA2012,WNT10A,RFFL,,,,
BCL2L13,SNX2,DNTTIP2,,,,
PPP1R10,IPO8,ITGB7,,,,
LRRC74B,C16orf93,CCDC36,,,,
LCK,ZNF563,BNIP3L,,,,
HELB,C10orf67,PACSIN1,,,,
MSMB,USH1G,GRN,,,,
POLQ,CH25H,CASP4,,,,
CLDN3,MNS1,BCAR3,,,,
PARP11,TRIM65,TNFRSF25,,,,
CCDC186,PM20D1,WAC,,,,
MAST4,SSR4,TUSC1,,,,
ASAP3,KLHL4,VDR,,,,
ISG20,SCYL2,SIPA1,,,,
DUSP5,FHAD1,CD28,,,,
ITGA2B,TBC1D10C,HLCS,,,,
ICAM1,RARA,ERO1L,,,,
JUP,ACADS,COQ4,,,,
MEF2A,SRSF9,CCNL2,,,,
ZNF708,GAL3ST2,RASGRP1,,,,
ITGB5,HGD,MT1M,,,,
RUNDC1,FPGS,SORT1,,,,
RITA1,RPL7A,MPC1,,,,
CCR6,GMNN,GCLM,,,,
SLC23A2,LRP6,LRRC26,,,,
SNX33,ITGA2,PHKG2,,,,
CCL15,SNRPA,HAGH,,,,
GINM1,ZNF160,GIMAP5,,,,
SPRY3,FIBP,HYAL3,,,,
EYA2,SPC24,EPHB1,,,,
CORO6,BCKDK,VPS4A,,,,
C22orf15,SIGLEC1,ANXA8,,,,
UBAC1,EXOSC9,RTKN2,,,,
COL9A2,SLC6A14,FLT3,,,,
URB2,DHFR,IER3,,,,
HILPDA,FBXL19,FKBP15,,,,
TIGD3,MYNN,ANXA6,,,,
DSP,WNT3,CTSO,,,,
MT1E,ZNF84,RGCC,,,,
NASP,OR2C1,MMP9,,,,
WDR60,DDX39A,ABLIM1,,,,
SIGIRR,UNKL,ZFYVE21,,,,
DDAH1,C9orf9,SH3BP5,,,,
IKZF3,DDX17,CNKSR1,,,,
CLUAP1,C6orf165,CBX6,,,,
FLVCR1,KIAA1328,MAP3K14,,,,
TOM1L1,TSPAN15,MICAL2,,,,
WFDC6,RPN2,ANOS1,,,,
ACYP2,CD69,ZBTB47,,,,
CRIM1,NFIX,RCCD1,,,,
DYDC2,ZNF724P,MRPL45,,,,
IQCA1,CLCN2,SOX12,,,,
AMOTL1,SATB1,PDE4DIP,,,,
ZNF770,ARHGAP17,FZD2,,,,
LPAR3,FSCN1,PDCL,,,,
CLCA1,IQSEC1,CEP19,,,,
TNFSF11,TENM1,RET,,,,
ALDH1L2,ISOC2,MYO1B,,,,
ID2,HEY2,GSTK1,,,,
DCDC1,PPIE,APMAP,,,,
AK4,GRIN2B,RSL1D1,,,,
MX1,ANK3,KCNAB3,,,,
UEVLD,ZNF528,CTSE,,,,
TOPBP1,GPR82,TMEM175,,,,
RDH5,EXTL2,MYO5C,,,,
PTPN3,ATRX,ID2,,,,
ZNF480,RPAP1,STAT2,,,,
MFSD5,SNRPN,OPRK1,,,,
ATP1B1,NPC1L1,PIGO,,,,
MT-ND1,AUP1,FPR2,,,,
MB21D2,KRT7,ACYP2,,,,
YPEL5,ITGB2,SYNGR2,,,,
PPCDC,MPHOSPH8,ACSBG2,,,,
ZCCHC7,ZC2HC1A,KMO,,,,
RMDN2,COPE,GNA11,,,,
USP31,AK9,YIPF6,,,,
EML4,S100P,NENF,,,,
TSC22D1,PHYHIP,MAN2C1,,,,
CLPB,AIMP1,KCNK5,,,,
PDE6C,RBSN,IRAK3,,,,
MTFP1,IGF1R,POLR3H,,,,
MLPH,CTGF,LRP8,,,,
RNF170,KCTD16,SMYD4,,,,
ZNF589,CTDSPL,HES6,,,,
WDR4,LILRA5,TCEAL8,,,,
NBEA,ENC1,TRIM47,,,,
FBXO5,MMP13,ENTPD6,,,,
LASP1,FAM24B,PNO1,,,,
LTBP2,LTA,TRIO,,,,
MTRNR2L3,EFHC1,CYP3A5,,,,
SH2D4B,ANXA13,MSRB1,,,,
KCNMB1,WNK1,QPRT,,,,
DNAJC4,SLC2A11,SLC25A1,,,,
SCNN1A,GAPDH,NKD1,,,,
SLAMF6,PTHLH,PI16,,,,
OAS2,N4BP3,HIST1H4I,,,,
DCAF7,LIFR,SETD1B,,,,
HDAC2,LDLRAD1,TMEM107,,,,
DCUN1D4,TXNDC5,TCTEX1D1,,,,
ARHGEF6,SMIM18,ANKRD45,,,,
DLGAP4,RTP4,SLC39A13,,,,
CFAP53,GALNT5,PLEKHO1,,,,
MS4A8,CCL15,PLA2G7,,,,
MTRNR2L12,PARVA,TOP2B,,,,
GPR85,LSM11,ALS2,,,,
PROC,SCYL1,TBCC,,,,
CREB5,SV2B,LRFN1,,,,
RELB,LAPTM5,ANKRD26,,,,
PLCG2,BAZ1B,TSPAN8,,,,
BEX4,PROCA1,RGS22,,,,
TTC39B,NTN5,OAF,,,,
TGOLN2,ARPC4,HECTD3,,,,
CCNY,CEACAM5,SECTM1,,,,
C11orf88,PDCL3,TMEM220,,,,
ANGPT4,ZNF394,TTC16,,,,
ADCY2,PROS1,GYS1,,,,
STRBP,EFTUD2,SMC3,,,,
EREG,CYBA,USP31,,,,
PLBD2,ARHGEF12,FAM198A,,,,
RARG,EID2B,STK33,,,,
CSAD,RHOC,CDK9,,,,
CCNE1,CIAPIN1,SVIL,,,,
GHRL,ZSWIM7,RAB2B,,,,
MARK2,SMARCB1,BBS2,,,,
ALOX15,SPEN,CECR1,,,,
SDC4,CIRBP,DTHD1,,,,
TGFA,NCKAP1L,IL1A,,,,
THEMIS2,ZCWPW1,KLF12,,,,
PAQR4,SLC35E3,CABLES1,,,,
AGR3,PPM1D,TEX14,,,,
SPON1,HPR,CA3,,,,
NKAIN1,ASIC2,PPP1R15A,,,,
HBEGF,TMEM71,C1QA,,,,
AFTPH,ROPN1,PARP15,,,,
FAM200A,CLTCL1,PLCXD2,,,,
C19orf38,PARVG,PRIMPOL,,,,
TXNIP,GIPC1,FGF10,,,,
ESRP1,ACAA2,ITFG2,,,,
STAC,FAM46C,MACROD1,,,,
GUCY2F,ATP8B1,PEBP4,,,,
KIF19,C6orf222,TGFBR1,,,,
TRAF1,GK,TRIM69,,,,
CDIP1,LSP1,NHS,,,,
CCDC78,TPD52L2,TMEM120A,,,,
RSPO3,ZFAND2B,HCLS1,,,,
DYNC2LI1,DLG2,CYP2U1,,,,
CERS4,FUT3,LAMP3,,,,
RPL15,SLC30A7,DRC7,,,,
DDX49,CYP2D6,YPEL2,,,,
KIAA0195,LRMP,SIAE,,,,
PSAT1,CLK4,HPCAL4,,,,
TRAF3IP1,DNAJB11,CNR1,,,,
STEAP4,CD180,SLC9A3R2,,,,
MSR1,GRHPR,CXCL5,,,,
DNAH11,PCDHGA2,PITPNM3,,,,
CCNF,COL4A6,NET1,,,,
DDX23,FAM153B,RAB7B,,,,
PIGX,WNT10B,BST1,,,,
VIPR1,PTTG2,CACNA1I,,,,
CCDC90B,UVRAG,METRNL,,,,
SMIM1,CLUH,BRWD3,,,,
PLCXD2,GMPPA,KYNU,,,,
RGMB,KIAA0319,MICALL1,,,,
CDC42EP3,RASGEF1B,HS3ST3B1,,,,
CEP72,PTGFR,FAHD2B,,,,
PTPRB,PHF14,KIAA1109,,,,
CMTM2,CACHD1,IL22RA1,,,,
SULT1A1,CD209,SEC14L1,,,,
C6orf118,FBXO9,ZNF76,,,,
USP1,TCEAL7,ATAD2B,,,,
DTHD1,ACAD9,ECSCR,,,,
F2RL1,CSF1R,MLLT4,,,,
FBN1,TMEM156,MRFAP1L1,,,,
CCDC91,ESRP1,ANKS1B,,,,
TRMT10A,TDRD12,PRCD,,,,
TMUB1,MAP7D2,SLC30A4,,,,
LMBRD1,UACA,NEO1,,,,
NRG1,SCN1B,MAFB,,,,
RCC1,GMFG,ZNF134,,,,
SNX29,ARHGAP12,PALMD,,,,
CLMN,IL13RA1,IFITM3,,,,
WDR61,GDAP1,FOLR1,,,,
ARL14EPL,PPA1,TMEM245,,,,
HLA-DOB,TCEA2,SUV420H2,,,,
ZNF510,POLI,KIF21A,,,,
CENPF,WDR60,SGPL1,,,,
